state,managing_agency,rights_type,state_enabling_act,OBJECTID,county,lease_status,lessee,township,range,section,trs-copy,aliquot,acres,trust_name
AZ,State Land Department,Subsurface,36 Stat. 557-579 (1910),141873,Yuma,N,,9S,24W,36,9S - 24W - 36,W 33FT EX N 72FT OF W 33FT,3.95,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,37 Stat. 557-579 (1910),141876,Yuma,N,,9S,23W,32,9S - 23W - 32,E2NW N2N2SW N2S2NWSW SENESW SWNWSE,150,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,38 Stat. 557-579 (1910),141887,Yuma,N,,9S,25W,36,9S - 25W - 36,LOT 1 5 THRU 10 S2N2 S2,639.78,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,39 Stat. 557-579 (1910),141993,Yuma,N,,9S,24W,36,9S - 24W - 36,M&B IN E2 LY E OF CANAL,189.55,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,40 Stat. 557-579 (1910),142467,Lapaz,N,,8N,19W,16,8N - 19W - 16,LOTS 1 THRU 4 E2SW E2,504.72,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,41 Stat. 557-579 (1910),142549,Lapaz,N,,4N,21W,36,4N - 21W - 36,E2,320,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,42 Stat. 557-579 (1910),142618,Lapaz,N,,3N,21W,2,3N - 21W - 2,NE S2NW N2SW SESW SE,520,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,43 Stat. 557-579 (1910),142660,Lapaz,N,,8N,19W,3,8N - 19W - 3,LOTS 1 THRU 4 S2N2 S2,556,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,44 Stat. 557-579 (1910),142666,Lapaz,N,,9N,19W,11,9N - 19W - 11,LOTS 3 THRU 6 NENW E2,476.16,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,45 Stat. 557-579 (1910),142670,Lapaz,N,,9N,19W,2,9N - 19W - 2,LOTS 1 THRU 7 S2NE SENW E2SW SE,625.9,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,46 Stat. 557-579 (1910),142672,Lapaz,N,,8N,19W,9,8N - 19W - 9,LOTS 4 THRU 7 SWSE E2E2,291.76,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,47 Stat. 557-579 (1910),142703,Lapaz,N,,9N,19W,3,9N - 19W - 3,LOT 7,13.02,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,48 Stat. 557-579 (1910),142806,Lapaz,N,,7N,19W,19,7N - 19W - 19,LOTS 1 THRU 4 E2W2 E2,632.87,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,49 Stat. 557-579 (1910),142901,Lapaz,N,,7N,19W,18,7N - 19W - 18,LOTS 1 THRU 4 E2SW E2,501.16,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,50 Stat. 557-579 (1910),142963,Lapaz,N,,4N,22W,36,4N - 22W - 36,LOTS 5 6 7,55.43,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,51 Stat. 557-579 (1910),143008,Lapaz,N,,10N,19W,34,10N - 19W - 34,LOTS 5 6 E2NE N2NESE,168.81,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,52 Stat. 557-579 (1910),143010,Lapaz,N,,8N,19W,4,8N - 19W - 4,LOTS 6 THRU 8,80.67,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,53 Stat. 557-579 (1910),143016,Lapaz,N,,8N,19W,20,8N - 19W - 20,LOTS 5 THRU 7,79.82,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,54 Stat. 557-579 (1910),143043,Lapaz,N,,3N,22W,1,3N - 22W - 1,LOTS 1 THRU 4 S2N2 N2N2SW N2SE N2SESE,365.4,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,55 Stat. 557-579 (1910),143052,Lapaz,N,,3N,21W,6,3N - 21W - 6,LOTS 1 THRU 7 S2NE SENW E2SW SE,530.37,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,56 Stat. 557-579 (1910),141829,Yuma,N,,8S,23W,15,8S - 23W - 15,L1 TO 4 S2SE,213.58,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,57 Stat. 557-579 (1910),141830,Yuma,N,,8S,23W,14,8S - 23W - 14,PT LOT 1,2.21,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,58 Stat. 557-579 (1910),141834,Yuma,N,,8S,23W,13,8S - 23W - 13,LOTS 1 THRU 4 S2N2 SE PT SW PT 1963 ACCRETION (552.38AC) AND PT 1982 ACCRETION (36.46AC),588.84,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,59 Stat. 557-579 (1910),141851,Yuma,N,,8S,23W,24,8S - 23W - 24,ALL LY NLY OF LEFT BANK OF PRESENT COLORADO RIVER EX YIR IN N2NWNW AND W2 OF ABANDONED COLORADO RIVER CHANNEL IN W2NENW AND N2NWNW,321.85,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,60 Stat. 557-579 (1910),141852,Yuma,N,,8S,23W,23,8S - 23W - 23,PRESENT COLORADO RIVER IN N2 AND ABANDONED COLORADO RIVER CHANNEL IN NW,158.16,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,61 Stat. 557-579 (1910),141853,Yuma,N,,8S,23W,22,8S - 23W - 22,LOTS 1 2 3 7,177.33,PENITENTIARY LAND FUND
AZ,State Land Department,Subsurface,62 Stat. 557-579 (1910),142092,Yuma,N,,7S,11W,29,7S - 11W - 29,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,63 Stat. 557-579 (1910),137224,Pinal,N,,4S,8E,10,4S - 8E - 10,SE,160,MINERS HSPTL-DISABLED MINERS
AZ,State Land Department,Subsurface,64 Stat. 557-579 (1910),137225,Pinal,N,,5S,6E,15,5S - 6E - 15,N2,320,MINERS HSPTL-DISABLED MINERS
AZ,State Land Department,Subsurface,65 Stat. 557-579 (1910),137226,Pinal,N,,5S,6E,14,5S - 6E - 14,ALL,640,MINERS HSPTL-DISABLED MINERS
AZ,State Land Department,Subsurface,66 Stat. 557-579 (1910),137228,Pinal,N,,4S,8E,15,4S - 8E - 15,E2,320,MINERS HSPTL-DISABLED MINERS
AZ,State Land Department,Subsurface,67 Stat. 557-579 (1910),137262,Pinal,N,,4S,8E,3,4S - 8E - 3,LOTS 1 2 S2NE SE,317.95,NORMAL SCHOOL
AZ,State Land Department,Subsurface,68 Stat. 557-579 (1910),137455,Pinal,N,,4S,2E,16,4S - 2E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,69 Stat. 557-579 (1910),137589,Pinal,N,,4S,3E,16,4S - 3E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,70 Stat. 557-579 (1910),137663,Pinal,N,,5S,6E,16,5S - 6E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,71 Stat. 557-579 (1910),138065,Pinal,N,,4S,2E,17,4S - 2E - 17,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,72 Stat. 557-579 (1910),138773,Pinal,Y,Kennecott Exploration Company,5S,4E,12,5S - 4E - 12,ALL,640,SCHOOL OF MINES
AZ,State Land Department,Subsurface,73 Stat. 557-579 (1910),127231,Coconino,N,,16N,13E,18,16N - 13E - 18,L1 TO 11 NE N2SE SESE MB L12 SWSE,746.56,AGRICULTURE & MECHANICAL COLLEGE
AZ,State Land Department,Subsurface,74 Stat. 557-579 (1910),127232,Coconino,N,,16N,14E,6,16N - 14E - 6,L1 TO 22 E2SW SE,1145.56,AGRICULTURE & MECHANICAL COLLEGE
AZ,State Land Department,Subsurface,75 Stat. 557-579 (1910),127234,Coconino,N,,16N,14E,8,16N - 14E - 8,ALL,640,AGRICULTURE & MECHANICAL COLLEGE
AZ,State Land Department,Subsurface,76 Stat. 557-579 (1910),127235,Coconino,N,,16N,14E,4,16N - 14E - 4,L1 TO 20 S2,1119.96,AGRICULTURE & MECHANICAL COLLEGE
AZ,State Land Department,Subsurface,77 Stat. 557-579 (1910),127236,Coconino,N,,16N,14E,10,16N - 14E - 10,ALL,640,AGRICULTURE & MECHANICAL COLLEGE
AZ,State Land Department,Subsurface,78 Stat. 557-579 (1910),127304,Coconino,N,,16N,14E,12,16N - 14E - 12,E2,320,MINERS HSPTL-DISABLED MINERS
AZ,State Land Department,Subsurface,79 Stat. 557-579 (1910),127416,Coconino,N,,16N,15E,16,16N - 15E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,80 Stat. 557-579 (1910),127485,Coconino,N,,20N,11E,2,20N - 11E - 2,LOTS 1 THRU 12 S2 EX M&B IN SWSWSW,815.23,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,81 Stat. 557-579 (1910),127486,Coconino,N,,20N,12E,2,20N - 12E - 2,L1 TO 4 S2N2 S2,714.52,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,82 Stat. 557-579 (1910),127488,Coconino,N,,20N,12E,16,20N - 12E - 16,N2 N2N2S2 LY N OF 95-98643,335.33,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,83 Stat. 557-579 (1910),127489,Coconino,N,,20N,11E,16,20N - 11E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,84 Stat. 557-579 (1910),127490,Coconino,N,,20N,12E,16,20N - 12E - 16,S2 LY S OF 95-98643,297.82,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,85 Stat. 557-579 (1910),127493,Coconino,N,,20N,12E,36,20N - 12E - 36,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,86 Stat. 557-579 (1910),127495,Coconino,N,,20N,12E,32,20N - 12E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,87 Stat. 557-579 (1910),127496,Coconino,N,,20N,10E,36,20N - 10E - 36,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,88 Stat. 557-579 (1910),127497,Coconino,N,,20N,11E,32,20N - 11E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,89 Stat. 557-579 (1910),127498,Coconino,N,,20N,11E,36,20N - 11E - 36,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,90 Stat. 557-579 (1910),127499,Coconino,N,,19N,12E,2,19N - 12E - 2,L1 TO 4 S2N2 S2,639.04,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,91 Stat. 557-579 (1910),127501,Coconino,N,,19N,11E,2,19N - 11E - 2,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,92 Stat. 557-579 (1910),127502,Coconino,N,,19N,13E,36,19N - 13E - 36,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,93 Stat. 557-579 (1910),127509,Coconino,N,,19N,11E,32,19N - 11E - 32,L1 TO 4 N2 N2S2,637.24,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,94 Stat. 557-579 (1910),127518,Coconino,N,,19N,11E,16,19N - 11E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,95 Stat. 557-579 (1910),127519,Coconino,N,,18N,15E,32,18N - 15E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,96 Stat. 557-579 (1910),127528,Coconino,N,,17N,15E,16,17N - 15E - 16,ALL EX PT OF E2E2E2,596.36,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,97 Stat. 557-579 (1910),127532,Coconino,N,,16N,15E,32,16N - 15E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,98 Stat. 557-579 (1910),127536,Coconino,N,,17N,12.5E,36,17N - 12.5E - 36,L1 TO 4 N2N2,331.21,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,99 Stat. 557-579 (1910),127541,Coconino,N,,15N,15E,16,15N - 15E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,100 Stat. 557-579 (1910),127755,Coconino,N,,17N,13E,32,17N - 13E - 32,LOTS 1 THRU 8 N2 N2S2,797.92,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,101 Stat. 557-579 (1910),127756,Coconino,N,,17N,14E,32,17N - 14E - 32,LOTS 1 THRU 4 N2S2 N2,586.35,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,102 Stat. 557-579 (1910),127757,Coconino,N,,17N,13E,2,17N - 13E - 2,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,103 Stat. 557-579 (1910),127758,Coconino,N,,17N,14E,2,17N - 14E - 2,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,104 Stat. 557-579 (1910),127759,Coconino,N,,17N,13E,36,17N - 13E - 36,L1 TO 4 N2S2 N2,612.96,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,105 Stat. 557-579 (1910),127760,Coconino,N,,17N,14E,16,17N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,106 Stat. 557-579 (1910),127761,Coconino,N,,17N,13E,16,17N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,107 Stat. 557-579 (1910),127762,Coconino,N,,17N,14E,36,17N - 14E - 36,L1 TO 4 N2S2 N2,595.16,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,108 Stat. 557-579 (1910),127766,Coconino,N,,19N,14E,32,19N - 14E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,109 Stat. 557-579 (1910),127768,Coconino,N,,19N,14E,16,19N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,110 Stat. 557-579 (1910),127770,Coconino,N,,16N,14E,2,16N - 14E - 2,L1 TO 20 S2,1109.92,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,111 Stat. 557-579 (1910),127772,Coconino,N,,16N,14E,16,16N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,112 Stat. 557-579 (1910),127773,Coconino,N,,16N,13E,16,16N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,113 Stat. 557-579 (1910),127774,Coconino,N,,16N,13E,2,16N - 13E - 2,L1 TO 16 S2,1003.16,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,114 Stat. 557-579 (1910),127832,Coconino,N,,18N,14E,32,18N - 14E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,115 Stat. 557-579 (1910),127833,Coconino,N,,18N,14E,2,18N - 14E - 2,L1 TO 4 S2N2 S2,675.2,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,116 Stat. 557-579 (1910),127834,Coconino,N,,18N,13E,36,18N - 13E - 36,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,117 Stat. 557-579 (1910),127835,Coconino,N,,18N,13E,16,18N - 13E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,118 Stat. 557-579 (1910),127836,Coconino,N,,18N,13E,32,18N - 13E - 32,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,119 Stat. 557-579 (1910),127837,Coconino,N,,18N,14E,36,18N - 14E - 36,L1 TO 4 W2E2 W2,639.72,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,120 Stat. 557-579 (1910),127838,Coconino,N,,18N,14E,16,18N - 14E - 16,ALL,640,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,121 Stat. 557-579 (1910),127839,Coconino,N,,18N,13E,2,18N - 13E - 2,L1 TO 4 S2N2 S2,673.4,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,122 Stat. 557-579 (1910),127848,Coconino,N,,21N,10E,36,21N - 10E - 36,LOTS 1 THRU 4 N2 N2S2,627.8,PERM COMMON SCHOOLS
AZ,State Land Department,Subsurface,123 Stat. 557-579 (1910),127950,Coconino,N,,16N,15E,34,16N - 15E - 34,W2W2W2W2 LY W OF COUNTY LINE,28.27,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,124 Stat. 557-579 (1910),127951,Coconino,N,,16N,15E,22,16N - 15E - 22,W2W2W2W2 LY W OF COUNTY LINE,25.41,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,125 Stat. 557-579 (1910),127962,Coconino,N,,17N,15E,4,17N - 15E - 4,ALL EX PT OF E2E2E2,594.46,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,126 Stat. 557-579 (1910),127963,Coconino,N,,16N,15E,6,16N - 15E - 6,L1 TO 15 18 TO 22 E2SW W2SE,1017.1,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,127 Stat. 557-579 (1910),127997,Coconino,N,,20N,11E,4,20N - 11E - 4,LOTS 1 THRU 4 7 8 AND LOTS 5 6 9 10 11 N2NE NESE LY N OF 95-98643,373.23,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,128 Stat. 557-579 (1910),127998,Coconino,N,,20N,12E,6,20N - 12E - 6,L1 TO 7 SESW SE,544.9,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,129 Stat. 557-579 (1910),127999,Coconino,N,,20N,12E,4,20N - 12E - 4,L1 TO 4 S2 S2N2,715.56,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,130 Stat. 557-579 (1910),128001,Coconino,N,,20N,11E,4,20N - 11E - 4,LOT 12 N2SW NWSE S2S2 AND LOTS 5 6 9 10 11 NESE LY S OF 95-98643,428.23,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,131 Stat. 557-579 (1910),128002,Coconino,N,,20N,11E,6,20N - 11E - 6,L1 TO 15 E2SW SE,916.42,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,132 Stat. 557-579 (1910),128003,Coconino,N,,20N,12E,18,20N - 12E - 18,LOT 1 NE NENW LY N OF 95-98643,136.2,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,133 Stat. 557-579 (1910),128005,Coconino,N,,20N,12E,18,20N - 12E - 18,LOTS 2 3 4 E2SW SE AND LOT 1 E2NW S2NE LY S OF 95-98643,485.06,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,134 Stat. 557-579 (1910),128006,Coconino,N,,20N,11E,18,20N - 11E - 18,L1 TO 4 E2W2 E2,715.55,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,135 Stat. 557-579 (1910),128007,Coconino,N,,20N,11E,14,20N - 11E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,136 Stat. 557-579 (1910),128009,Coconino,N,,20N,10E,14,20N - 10E - 14,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,137 Stat. 557-579 (1910),128011,Coconino,N,,20N,12E,22,20N - 12E - 22,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,138 Stat. 557-579 (1910),128012,Coconino,N,,20N,12E,24,20N - 12E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,139 Stat. 557-579 (1910),128013,Coconino,N,,20N,12E,20,20N - 12E - 20,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,140 Stat. 557-579 (1910),128015,Coconino,N,,20N,10E,24,20N - 10E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,141 Stat. 557-579 (1910),128016,Coconino,N,,20N,11E,22,20N - 11E - 22,E2 N2NW SWNW SW,600,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,142 Stat. 557-579 (1910),128017,Coconino,N,,20N,11E,24,20N - 11E - 24,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,143 Stat. 557-579 (1910),128020,Coconino,N,,19N,12E,8,19N - 12E - 8,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
AZ,State Land Department,Subsurface,144 Stat. 557-579 (1910),128021,Coconino,N,,19N,12E,10,19N - 12E - 10,ALL,640,PERM COMMON SCHOOLS (INDMTY SELEC)
