state,managing_agency,rights_type,state_enabling_act,TRACT_ID,acres,county,township,range,section,aliquot,trust_name
ND,Commissioner of University and School Lands,Surface,"25 Stat. 676-684, esp. 679-81 (1889)",2708880,85.6,MCKENZIE,152,95,36,"LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"26 Stat. 676-684, esp. 679-81 (1889)",3100090,40,MOUNTRAIL,150,92,19,SE4NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"27 Stat. 676-684, esp. 679-81 (1889)",3100100,40,MOUNTRAIL,150,92,20,SW4SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"28 Stat. 676-684, esp. 679-81 (1889)",3100130,160,MOUNTRAIL,150,92,27,SE4,ND INDUSTRIAL SCHOOL
ND,Commissioner of University and School Lands,Surface,"29 Stat. 676-684, esp. 679-81 (1889)",3100120,80,MOUNTRAIL,150,92,26,W2SW4,ND INDUSTRIAL SCHOOL
ND,Commissioner of University and School Lands,Surface,"30 Stat. 676-684, esp. 679-81 (1889)",3101880,160,MOUNTRAIL,152,88,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"31 Stat. 676-684, esp. 679-81 (1889)",2811350,160,MCLEAN,149,89,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"32 Stat. 676-684, esp. 679-81 (1889)",2811340,160,MCLEAN,149,89,16,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"33 Stat. 676-684, esp. 679-81 (1889)",2808250,160,MCLEAN,148,90,18,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"34 Stat. 676-684, esp. 679-81 (1889)",2808240,80,MCLEAN,148,90,16,E2NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"35 Stat. 676-684, esp. 679-81 (1889)",1307811,80,DUNN,146,92,16,S2SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"36 Stat. 676-684, esp. 679-81 (1889)",2706971,88.84,MCKENZIE,151,95,36,"LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"37 Stat. 676-684, esp. 679-81 (1889)",2814950,160,MCLEAN,150,89,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"38 Stat. 676-684, esp. 679-81 (1889)",2811310,159.36,MCLEAN,149,89,9,SE4,ELLENDALE
ND,Commissioner of University and School Lands,Surface,"39 Stat. 676-684, esp. 679-81 (1889)",3101520,139.43,MOUNTRAIL,151,92,36,"W2NE4SW4, NW4SW4, S2SW4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"40 Stat. 676-684, esp. 679-81 (1889)",2706972,89.24,MCKENZIE,151,95,36,"LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"41 Stat. 676-684, esp. 679-81 (1889)",3100050,77.46,MOUNTRAIL,150,92,10,S2SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"42 Stat. 676-684, esp. 679-81 (1889)",2814330,160,MCLEAN,150,88,16,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"43 Stat. 676-684, esp. 679-81 (1889)",2814740,160,MCLEAN,150,89,17,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"44 Stat. 676-684, esp. 679-81 (1889)",2814750,160,MCLEAN,150,89,17,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"45 Stat. 676-684, esp. 679-81 (1889)",3100080,80,MOUNTRAIL,150,92,15,W2SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"46 Stat. 676-684, esp. 679-81 (1889)",2814350,160,MCLEAN,150,88,16,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"47 Stat. 676-684, esp. 679-81 (1889)",3101900,140.71,MOUNTRAIL,152,88,16,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"48 Stat. 676-684, esp. 679-81 (1889)",3102760,160,MOUNTRAIL,152,92,14,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"49 Stat. 676-684, esp. 679-81 (1889)",3102822,46.98,MOUNTRAIL,152,92,23,NE4NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"50 Stat. 676-684, esp. 679-81 (1889)",3102821,50,MOUNTRAIL,152,92,23,"W2W2NE4NE4, NW4NE4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"51 Stat. 676-684, esp. 679-81 (1889)",2808260,48.01,MCLEAN,148,90,19,"NE4NW4, LOT 1",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"52 Stat. 676-684, esp. 679-81 (1889)",2808270,36.21,MCLEAN,148,90,19,NW4SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"53 Stat. 676-684, esp. 679-81 (1889)",2708870,84.96,MCKENZIE,152,95,36,"LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"54 Stat. 676-684, esp. 679-81 (1889)",2808150,78.36,MCLEAN,148,88,36,N2NE4,ND INDUSTRIAL SCHOOL
ND,Commissioner of University and School Lands,Surface,"55 Stat. 676-684, esp. 679-81 (1889)",4304110,80,SIOUX,132,82,20,E2SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"56 Stat. 676-684, esp. 679-81 (1889)",4304140,120,SIOUX,132,82,28,"E2NW4, NW4NW4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"57 Stat. 676-684, esp. 679-81 (1889)",4304130,80,SIOUX,132,82,28,W2NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"58 Stat. 676-684, esp. 679-81 (1889)",4301490,160,SIOUX,129,86,28,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"59 Stat. 676-684, esp. 679-81 (1889)",4301450,160,SIOUX,129,86,25,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"60 Stat. 676-684, esp. 679-81 (1889)",4301500,160,SIOUX,129,86,28,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"61 Stat. 676-684, esp. 679-81 (1889)",4301860,160,SIOUX,129,89,26,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"62 Stat. 676-684, esp. 679-81 (1889)",4301850,160,SIOUX,129,89,26,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"63 Stat. 676-684, esp. 679-81 (1889)",4301470,160,SIOUX,129,86,25,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"64 Stat. 676-684, esp. 679-81 (1889)",4300730,160,SIOUX,129,83,28,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"65 Stat. 676-684, esp. 679-81 (1889)",4303511,86,SIOUX,131,82,16,NE4 E OF HWY,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"66 Stat. 676-684, esp. 679-81 (1889)",4303512,65.04,SIOUX,131,82,16,NE4 W OF HWY,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"67 Stat. 676-684, esp. 679-81 (1889)",4303740,160,SIOUX,131,83,33,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"68 Stat. 676-684, esp. 679-81 (1889)",4303841,80,SIOUX,131,84,36,W2NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"69 Stat. 676-684, esp. 679-81 (1889)",4303730,160,SIOUX,131,83,33,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"70 Stat. 676-684, esp. 679-81 (1889)",4303850,160,SIOUX,131,84,36,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"71 Stat. 676-684, esp. 679-81 (1889)",4303400,151,SIOUX,131,81,31,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"72 Stat. 676-684, esp. 679-81 (1889)",4301410,160,SIOUX,129,86,21,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"73 Stat. 676-684, esp. 679-81 (1889)",4301420,160,SIOUX,129,86,21,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"74 Stat. 676-684, esp. 679-81 (1889)",4300200,160,SIOUX,129,80,20,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"75 Stat. 676-684, esp. 679-81 (1889)",4301430,160,SIOUX,129,86,21,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"76 Stat. 676-684, esp. 679-81 (1889)",4301440,160,SIOUX,129,86,21,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"77 Stat. 676-684, esp. 679-81 (1889)",4300550,80,SIOUX,129,82,20,W2SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"78 Stat. 676-684, esp. 679-81 (1889)",4301810,160,SIOUX,129,89,25,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"79 Stat. 676-684, esp. 679-81 (1889)",4301820,160,SIOUX,129,89,25,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"80 Stat. 676-684, esp. 679-81 (1889)",4301600,160,SIOUX,129,87,26,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"81 Stat. 676-684, esp. 679-81 (1889)",4303212,78.94,SIOUX,130,89,36,"LOTS 9,10",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"82 Stat. 676-684, esp. 679-81 (1889)",4302200,160,SIOUX,130,81,28,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"83 Stat. 676-684, esp. 679-81 (1889)",4302190,160,SIOUX,130,81,28,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"84 Stat. 676-684, esp. 679-81 (1889)",4302090,154.2,SIOUX,130,80,30,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"85 Stat. 676-684, esp. 679-81 (1889)",4302080,160,SIOUX,130,80,30,NE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"86 Stat. 676-684, esp. 679-81 (1889)",4302950,155,SIOUX,130,84,25,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"87 Stat. 676-684, esp. 679-81 (1889)",4302220,160,SIOUX,130,81,28,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"88 Stat. 676-684, esp. 679-81 (1889)",4302210,160,SIOUX,130,81,28,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"89 Stat. 676-684, esp. 679-81 (1889)",4302100,160,SIOUX,130,80,30,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"90 Stat. 676-684, esp. 679-81 (1889)",4302110,154.6,SIOUX,130,80,30,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"91 Stat. 676-684, esp. 679-81 (1889)",4302980,160,SIOUX,130,84,34,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"92 Stat. 676-684, esp. 679-81 (1889)",4302970,160,SIOUX,130,84,34,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"93 Stat. 676-684, esp. 679-81 (1889)",4303010,160,SIOUX,130,84,35,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"94 Stat. 676-684, esp. 679-81 (1889)",4303690,160,SIOUX,131,83,28,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"95 Stat. 676-684, esp. 679-81 (1889)",4303660,160,SIOUX,131,83,27,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"96 Stat. 676-684, esp. 679-81 (1889)",4303531,125.8,SIOUX,131,82,16,SE4 E OF HWY,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"97 Stat. 676-684, esp. 679-81 (1889)",4303532,24,SIOUX,131,82,16,SE4 W OF HWY,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"98 Stat. 676-684, esp. 679-81 (1889)",4303060,160,SIOUX,130,84,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"99 Stat. 676-684, esp. 679-81 (1889)",4302820,157.43,SIOUX,130,83,31,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"100 Stat. 676-684, esp. 679-81 (1889)",4302810,160,SIOUX,130,83,31,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"101 Stat. 676-684, esp. 679-81 (1889)",4303020,160,SIOUX,130,84,35,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"102 Stat. 676-684, esp. 679-81 (1889)",4303050,160,SIOUX,130,84,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"103 Stat. 676-684, esp. 679-81 (1889)",4302340,156,SIOUX,130,81,36,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"104 Stat. 676-684, esp. 679-81 (1889)",4302330,149.4,SIOUX,130,81,36,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"105 Stat. 676-684, esp. 679-81 (1889)",4303213,23.49,SIOUX,130,89,36,LOT 11,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"106 Stat. 676-684, esp. 679-81 (1889)",4303222,50.1,SIOUX,130,89,36,"LOTS 12,13",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"107 Stat. 676-684, esp. 679-81 (1889)",4303221,45.69,SIOUX,130,89,36,"LOTS 14,15",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"108 Stat. 676-684, esp. 679-81 (1889)",4303222,50.1,SIOUX,130,89,36,"LOTS 12,13",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"109 Stat. 676-684, esp. 679-81 (1889)",1900423,27.5,GRANT,130,89,36,LOT 7,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"110 Stat. 676-684, esp. 679-81 (1889)",4300760,160,SIOUX,129,84,1,"S2NE4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"111 Stat. 676-684, esp. 679-81 (1889)",4300800,160,SIOUX,129,84,2,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"112 Stat. 676-684, esp. 679-81 (1889)",4300810,160,SIOUX,129,84,2,SW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"113 Stat. 676-684, esp. 679-81 (1889)",1900421,20,GRANT,130,89,36,LOT 2,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"114 Stat. 676-684, esp. 679-81 (1889)",4301551,30.77,SIOUX,129,87,16,NE4 E OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"115 Stat. 676-684, esp. 679-81 (1889)",4301571,58.2,SIOUX,129,87,16,SE4 E OF RD,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"116 Stat. 676-684, esp. 679-81 (1889)",4303150,19.6,SIOUX,130,86,23,LOT 6,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"117 Stat. 676-684, esp. 679-81 (1889)",4302450,80,SIOUX,130,82,19,E2NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"118 Stat. 676-684, esp. 679-81 (1889)",4302460,160,SIOUX,130,82,20,NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"119 Stat. 676-684, esp. 679-81 (1889)",4302470,80,SIOUX,130,82,21,W2NW4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"120 Stat. 676-684, esp. 679-81 (1889)",4302010,153.4,SIOUX,130,80,19,"E2NW4, LOTS 1,2",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"121 Stat. 676-684, esp. 679-81 (1889)",4302030,153.8,SIOUX,130,80,19,"E2SW4, LOTS 3,4",COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"122 Stat. 676-684, esp. 679-81 (1889)",4302020,160,SIOUX,130,80,19,SE4,COMMON SCHOOLS
ND,Commissioner of University and School Lands,Surface,"123 Stat. 676-684, esp. 679-81 (1889)",4303290,160,SIOUX,130,90,36,SE4,COMMON SCHOOLS
